id,en,ja,de,fr
101,tool bag,ツールバッグ,Werkzeugtasche,sac à outils
102,retro sports bag,スポーツバッグ,Retro-Sporttasche,sac sport rétro
103,sacoche bag,サコッシュ,Minitasche,sacoche
104,evening bag,パーティーバッグ,Abendhandtasche,sac de soirée
105,log pack,せおいばしご,Holzfällerrucksack,claie de portage
106,traveler's backpack,たびびとのリュック,Wanderrucksack,sac à dos de randonnée
107,square backpack,しかくいリュック,Kastenrucksack,sac à dos cube
108,outdoor backpack,アウトドアリュック,Outdoor-Rucksack,sac à dos tout-terrain
109,butterfly backpack,ちょうちょのバッグ,Schmetterlingsrucksack,sac à dos papillon
110,studded backpack,スタッズリュック,Nietenrucksack,sac à dos clouté
111,mini pleather bag,ミニレザーバッグ,Kunstleder-Rucksäckchen,mini-sac en similicuir
112,extra-large backpack,おおきめザック,Trekking-Rucksack,sac à dos XL
113,basket pack,しょいこ,Tragekorb,claie à panier
114,foldover-top backpack,ふたつきリュック,Faltverschluss-Rucksack,sac à dos à rabat
115,knapsack,ナップサック,Turnbeutel,sac à dos à cordon
116,canvas backpack,はんぷリュック,Leinenrucksack,sac à dos en toile
117,Mom's knapsack,ははのナップサック,Beutel,sac à dos de maman
118,chino pants,チノパン,Chino,pantalon en toile
119,two-tone pants,ツートンなズボン,Zweifarbhose,pantalon bicolore
120,gingham picnic skirt,ギンガムチェックのスカート,Karorock,jupe vichy
121,denim pants,デニムパンツ,Jeans,jean
122,soccer shorts,サッカーのズボン,Fußballhose,short de foot
123,explorer shorts,たんけんふくのズボン,Safarihose,bermuda aventure
124,animal-stripes skirt,アニマルがらスカート,Tiermusterrock,jupe motif animalier
125,football pants,アメフトズボン,Footballhose,pantalon de foot américain
126,Labelle shorts,ケイトのハーフパンツ,Samthea-Shorts,short Maria
127,Labelle skirt,ケイトのスカート,Samthea-Rock,jupe Maria
128,polka-dot mini skirt,ドットミニスカート,Pünktchen-Minirock,mini-jupe à pois
129,sweatpants,スウェットパンツ,Sofahose,pantalon de jogging
130,green grass skirt,みどりのこしみの,Grasröckchen,jupe savane verte
131,tweed skirt,ツイードスカート,Tweed-Rock,jupe en tweed
132,pleather pants,レザーパンツ,Kunstlederhose,pantalon en similicuir
133,slacks,スラックス,Stoffhose,pantalon de bureau
134,athletic pants,ジャージズボン,Trainingshose,pantalon de survêt
135,striped pants,ボーダーパンツ,Ringelhose,pantalon rayé
136,worn-out jeans,あなあきデニム,Fetzenjeanshose,pantalon jean usé
137,track pants,スポーツジャージのズボン,Aufwärmhose,pantalon survêt de sport
138,kilt,キルト,Kilt,kilt
139,sailor skirt,セーラーふくのスカート,Marinerock,jupe matelot
140,camo pants,めいさいパンツ,Tarnhose,pantalon camouflage
141,cargo pants,カーゴパンツ,Cargohose,pantalon cargo
142,cuffed pants,すそみせズボン,Umkrempelhose,pantalon à revers
143,lace skirt,レーススカート,Spitzenrock,jupe en dentelle
144,dress pants,せいふくのズボン,Uniformhose,pantalon d'uniforme
145,flashy slacks,ハデなスラックス,Imponierhose,pantalon tape-à-l'œil
146,western pants,カウボーイパンツ,Western-Hose,pantalon western
147,tweed pants,ツイードパンツ,Tweedhose,pantalon en tweed
148,cargo shorts,ハーフカーゴパンツ,Cargo-Shorts,short cargo
149,jogging shorts,ランニングパンツ,Lauf-Shorts,short de footing
150,long pleated skirt,ロングプリーツスカート,Faltenrock,jupe longue plissée
151,tennis skirt,テニススカート,Tennisrock,jupe de tennis
152,denim skirt,デニムスカート,Jeansrock,jupe en jean
153,worn-out cutoffs,あなあきショートデニム,Fetzenjeansshorts,mini-short en jean troué
154,long polka skirt,みずたまロングスカート,Maxi-Pünktchenrock,jupe longue à pois
155,hickory-stripe pants,ヒッコリーのペインターパンツ,Hickory-Streifen-Hose,pantalon de travail
156,chain pants,チェーンつきパンツ,Kettenhose,pantalon à chaîne
157,down pants,ダウンパンツ,Thermohose,pantalon doudoune
158,long chino skirt,ロングチノスカート,Maxi-Chinorock,jupe longue chino
159,down skirt,ダウンスカート,Thermorock,jupe doudoune
160,denim cutoffs,デニムショートパンツ,Jeans-Shorts,mini-short en jean
161,sporty skirt,スウェットスカート,Feierabend-Rock,jupe jogging
162,corduroy skirt,コーデュロイスカート,Cordrock,jupe en velours côtelé
163,gaucho pants,ガウチョパンツ,Gaucho-Hose,pantalon gaucho
164,pleather skirt,レザースカート,Kunstlederrock,jupe en similicuir
165,fringe skirt,フリンジスカート,Fransenrock,jupe à franges
166,denim painter's pants,デニムのペインターパンツ,Maler-Jeanshose,jean de travail
167,silk floral-print pants,チャイナなクロップドパンツ,Asia-Blumen-Shorts,pantacourt chinois
168,silk pants,チャイナなズボン,Asia-Wolken-Hose,pantalon chinois
169,kung-fu pants,カンフーなズボン,Kung-Fu-Hose,pantalon de kung-fu
170,grass skirt,こしみの,Baströckchen,jupe savane
171,bell-bottoms,ベルボトムパンツ,Glockenhose,pantalon pattes d'eph
172,frilly pants,フリルつきパンツ,Volanthose,pantalon à volant
173,yacht shorts,ヨットのショートパンツ,Jacht-Shorts,short voiliers
174,multicolor shorts,マルチカラーのハーフパンツ,Vielfarben-Shorts,short multicolore
175,formal shorts,きれいめハーフパンツ,Ausgehshorts,short sobre
176,leopard miniskirt,ヒョウがらミニスカート,Leoparden-Minirock,mini-jupe léopard
177,long plaid skirt,チェックのロングスカート,Karo-Maxirock,jupe longue écossaise
178,noble pants,きぞくのズボン,Adelshose,haut-de-chausse
179,pineapple aloha shorts,パインがらアロハパンツ,Ananas-Aloha-Hose,short Hawaï ananas
180,cropped pants,クロップドパンツ,7/8-Hose,pantacourt
181,frilly skirt,フリルスカート,Volantrock,jupe volantée
182,tweed frilly skirt,ツイードフリルスカート,Tweed-Volantrock,jupe en tweed à volant
183,casual pants,ワイドイージーパンツ,Freizeithose,pantalon d'intérieur
184,camo skirt,めいさいスカート,Tarnrock,jupe camouflage
185,culottes,キュロット,Hosenrock,jupe-culotte
186,ski pants,スキーウェアのズボン,Skihose,pantalon de ski
187,outdoor shorts,アウトドアパンツ,Outdoor-Hose,short de randonnée
188,punk pants,ボンテージパンツ,Punk-Hose,pantalon punk
189,vibrant shorts,エスニックパンツ,Ethno-Shorts,bermuda chamarré
190,patched-knee pants,ひざあてズボン,Spielplatzhose,pantalon renforcé
191,tiered skirt,ティアードスカート,Stufenrock,jupe bohème
192,career skirt,キャリアなスカート,Business-Rock,jupe crayon
193,draped skirt,ドレープスカート,Draperie-Rock,jupe drapée
194,cycling shorts,サイクルボトム,Radler-Shorts,short cycliste
195,surfing shorts,サーフパンツ,Surfer-Shorts,short de surf
196,lace shorts,レースショートパンツ,Spitzenshorts,short dentelle
197,athletic shorts,ジャージショートパンツ,Athletenshorts,short de sport
198,muay-thai shorts,ムエタイパンツ,Muai-Thai-Hose,short de boxe thaï
199,dotted shorts,ゴールドドットパンツ,Goldtupfen-Shorts,short à pois
200,belted wraparound skirt,ベルトのまきスカート,Gürtel-Wickelrock,jupe portefeuille à ceinture
201,embroidered floral skirt,ししゅうのはながらスカート,Blumenstick-Rock,jupe à fleurs brodées
202,embroidered-pattern skirt,きかがくししゅうのスカート,Dessinstick-Rock,jupe à motif brodé
203,satin pants,サテンのパンツ,Satinhose,pantalon en satin
204,corduroy pants,コーデュロイボトム,Cordhose,pantalon en velours côtelé
205,floral lace skirt,はながらレースのスカート,Blumenspitzenrock,jupe à fleurs en dentelle
206,flare skirt,フレアスカート,Minirock,jupe évasée
207,wide chino pants,ワイドチノ,Outdoor-Chino,pantalon large en toile
208,acid-washed jeans,ケミカルウォッシュデニム,Bleichjeanshose,jean délavé
209,dance warm-up pants,ダンスジャージズボン,Tänzerhose,pantalon équipe de danse
210,comic shorts,アメコミがらハーフパンツ,Comic-Shorts,short bédé
211,traditional monpe pants,もんぺ,Monpe-Arbeitshose,pantalon monpe
212,rain pants,レインパンツ,Regenhose,pantalon imperméable
213,knit skirt,ニットスカート,Strickrock,jupe en tricot
214,faux-fur skirt,ファースカート,Schleifchen-Kunstfellrock,jupe en fausse fourrure
215,frilly sweatpants,スウェットフリルズボン,Volantsofahose,pantalon jogging à volants
216,long sweatskirt,スウェットロングスカート,Feierabend-Maxirock,jupe jogging longue
217,boa skirt,ボアスカート,Fleecerock,jupe en polaire
218,boa shorts,ボアハーフパンツ,Fleece-Shorts,short en polaire
219,pleather flare skirt,レザーのフレアスカート,Kunstleder-Minirock,jupe évasée en similicuir
220,buttoned lace skirt,まえボタンレースのスカート,Knopfleisten-Spitzenrock,jupe longue à boutons
221,petal skirt,チュチュスカート,Tanzröckchen,jupe pétales
222,plover skirt,ちどりのスカート,Symmetrierock,jupe pied-de-coq
223,upcycled skirt,シャビーなスカート,Upcycle-Rock,jupe recyclée
224,embellished denim pants,プリントデニム,Design-Jeanshose,jean décoré
225,traditional suteteko pants,ステテコ,Suteteko-Hose,pantalon suteteko
226,patchwork skirt,パッチワークスカート,Patchwork-Rock,jupe patchwork
227,plaid shorts,シャギーチェックのホットパンツ,Karoshorts,short écossais à ceinture
228,colorful skirt,エナグワス,Traditionsrock,jupe bariolée
229,torn pants,やぶれたズボン,Lumpenhose,pantalon déchiré
230,three-quarter sweatpants,フィットネススウェットパンツ,7/8-Sofahose,pantacourt de jogging
231,box-pleated skirt,ボックスプリーツスカート,Kellerfaltenrock,jupe plissée courte
232,faux-shearling skirt,ムートンスカート,Kunstfellrock,jupe en imitation agneau
233,striped shorts,マルチストライプのホットパンツ,Streifen-Shorts,short à rayures bariolé
234,knit pants,ニットパンツ,Strickhose,pantalon en tricot
235,long denim skirt,ロングデニムスカート,Maxi-Jeansrock,jupe longue en jean
236,apron skirt,エプロンつきスカート,Schürzenrock,jupe tablier
237,terry-cloth shorts,もこもこホットパンツ,Frottee-Shorts,short en tissu éponge
238,basketball shorts,バスケットパンツ,Basketball-Shorts,short de basketball
239,workout pants,ワークアウトパンツ,Workout-Hose,pantalon de fitness
240,bomber-style skirt,ＭＡ‐１スカート,Uniformrock,jupe aviateur
241,spangle shorts,スパンコールのホットパンツ,Pailletten-Shorts,short à sequins
242,striped bell-bottoms,マルチストライプワイドパンツ,Streifen-Glockenhose,pattes d'eph à rayures
243,comedian's pants,コメディアンのパンツ,Komikerhose,pantalon de comique
244,pearl skirt,パールつきスカート,Perlen-Rock,jupe perlée
245,pleather shorts,レザーのショートパンツ,Kunstleder-Shorts,short clouté en similicuir
246,gobelin shorts,ゴブランハーフパンツ,Gobelin-Shorts,short tapisserie
247,elephant-print pants,タイパンツ,Elefantenmuster-Hose,pantalon motif éléphants
248,corte skirt,コルテ,Corte-Rock,jupe maya
249,geometric-print pants,チマヨがらフリースパンツ,Chimayo-Hose,pantalon Chimayo
250,cut-pleather skirt,カットレザースカート,Kunstleder-Bordürenrock,jupe en similicuir ouvragée
251,pleather patch skirt,レザーパッチスカート,Kunstleder-Flickenrock,jupe en similicuir patchwork
252,buttoned wraparound skirt,ボタンのまきスカート,Knöpfe-Wickelrock,jupe portefeuille boutonnée
253,tie-dye skirt,タイダイスカート,Batikrock,jupe tie and dye
254,botanical shorts,ボタニカルハーフパンツ,Botanik-Shorts,short botanique
255,school pants,がくせいふくのズボン,Schulhose,pantalon d'écolier
256,lemon skirt,レモンのスカート,Zitronenrock,jupe citrons
257,dreamy pants,ゆめかわなズボン,Fantasiehose,pantalon joli rêve
258,floral skirt,はながらスカート,Blumenwiesenrock,jupe florale
259,long sailor skirt,ロングセーラースカート,Maxi-Segelrock,jupe longue marine
260,crown,クイーンのかんむり,Königinnenkrone,couronne
261,zen hair clip,わかざり,Blumenhaarnadel,barrette zen
262,flashy hairpin,はでなかみかざり,Blumenspange,épingle luxueuse
263,pilot's hat,きちょうのぼうし,Pilotenmütze,chapeau de capitaine
264,student cap,がくせいぼう,Schülermütze,chapeau d'élève
265,hibiscus hairpin,ハイビスカスのかみかざり,Hibiskus-Haarspange,épingle hibiscus
266,baseball cap,ベースボールキャップ,Baseballkappe,casquette de base-ball
267,tweed cap,ツイードキャップ,Tweedmütze,casquette en tweed
268,floral hairpin,おはなのヘアピン,Blumenhaarspange,épingle fleurie
269,heart hairpin,ハートのかみかざり,Herzhaarnadel,épingle cœur
270,star hairpin,ほしのかみかざり,Sternhaarnadel,épingle étoile
271,barrette,バレッタ,Haarspange,barrette
272,giant ribbon,おおきなリボン,Riesenschleifchen,ruban géant
273,skateboarding helmet,スケボーヘルメット,Skateboard-Helm,casque de skateboard
274,Aran-knit cap,アランニットぼう,Aranmustermütze,bonnet tricoté Aran
275,lettered cap,もじキャップ,Schriftzug-Mütze,casquette à message
276,ribboned garden hat,リボンつきむぎわらぼうし,Schleifchen-Strohhut,chapeau de jardin à ruban
277,patchwork tulip hat,パッチワークのチューリップぼう,Patchwork-Sommerhut,chapeau tulipe patchwork
278,apple hat,リンゴのぼうし,Apfelhut,chapeau pomme
279,pear hat,ナシのぼうし,Birnenhut,chapeau poire
280,cherry hat,さくらんぼのぼうし,Kirschhut,chapeau cerise
281,peach hat,モモのぼうし,Pfirsichhut,chapeau pêche
282,Labelle cap,ケイトのキャップ,Samthea-Mütze,casquette Maria
283,Labelle hat,ケイトのぼうし,Samthea-Hut,chapeau Maria
284,Nook Inc. cap,たぬきかいはつキャップ,Nook-Inc.-Kappe,casquette Nook Inc.
285,Nook Inc. bandanna,たぬきかいはつバンダナ,Nook-Inc.-Kopftuch,bandana Nook Inc.
286,rain hat,レインハット,Regen-Schülerhut,chapeau de pluie
287,tropical hat,パインがらアウトドアハット,Ananas-Outdoor-Hut,chapeau tropical
288,tubeteika,ウズベクなぼうし,Tjubetejka,tubeteika
289,matanpushi,マタンプシ,Matanpushi,matanpushi
290,DAL cap,ＤＡＬキャップ,DAL-Kappe,casquette Dodo Airlines
291,OK Motors cap,OKモータースのキャップ,OK-Motors-Mütze,casquette OK Motors
292,earth-egg shell,じめんのたまごのから,Erd-Eierschale,coquille d'œuf terrestre
293,stone-egg shell,いわのたまごのから,Fels-Eierschale,coquille d'œuf minéral
294,leaf-egg shell,はっぱのたまごのから,Laub-Eierschale,coquille d'œuf feuillu
295,wood-egg shell,ウッディなたまごのから,Holz-Eierschale,coquille d'œuf boisé
296,sky-egg shell,そらとぶたまごのから,Luft-Eierschale,coquille d'œuf aérien
297,water-egg shell,サカナのたまごのから,Wasser-Eierschale,coquille d'œuf aquatique
298,Bunny Day crown,イースターなかんむり,Häschentag-Krone,coiffe fête des œufs
299,egg party hat,たまごのパーティーハット,Glücksei-Partyhut,chapeau festif œuf
300,school hat,つうがくぼう,Schülerhut,chapeau d'écolier
301,New Year's hat,ニューイヤーハット,Neujahrshut,chapeau de nouvel an
302,birthday hat,バースデーハット,Geburtstagshut,chapeau anniversaire
303,hyacinth crown,ヒヤシンスのかんむり,Hyazinthenkrone,coiffe jacinthes
304,cool hyacinth crown,ヒヤシンスのかんむり・クール,Bunthyazinthenkrone,coiffe jacinthes raffinée
305,purple hyacinth crown,ヒヤシンスのかんむり・パープル,Purpurhyazinthenkrone,coiffe jacinthes mauves
306,windflower crown,アネモネのかんむり,Anemonenkrone,coiffe anémones
307,cool windflower crown,アネモネのかんむり・クール,Buntanemonenkrone,coiffe anémones raffinée
308,purple windflower crown,アネモネのかんむり・パープル,Purpuranemonenkrone,coiffe anémones mauves
309,tulip crown,チューリップのかんむり,Tulpenkrone,coiffe tulipes
310,chic tulip crown,チューリップのかんむり・シック,Edeltulpenkrone,coiffe tulipes chic
311,dark tulip crown,チューリップのかんむり・ダーク,Römertulpenkrone,coiffe tulipes sombre
312,pansy crown,パンジーのかんむり,Veilchenkrone,coiffe pensées
313,cool pansy crown,パンジーのかんむり・クール,Buntveilchenkrone,coiffe pensées raffinée
314,purple pansy crown,パンジーのかんむり・パープル,Hainveilchenkrone,coiffe pensées mauves
315,cosmos crown,コスモスのかんむり,Cosmeenkrone,coiffe cosmos
316,lovely cosmos crown,コスモスのかんむり・ラブリー,Buntcosmeenkrone,jolie coiffe cosmos
317,dark cosmos crown,コスモスのかんむり・ダーク,Schwarzcosmeenkrone,coiffe cosmos sombre
318,rose crown,バラのかんむり,Rosenkrone,coiffe roses
319,cute rose crown,バラのかんむり・キュート,Buntrosenkrone,jolie coiffe roses
320,chic rose crown,バラのかんむり・シック,Edelrosenkrone,coiffe roses chic
321,lily crown,ユリのかんむり,Lilienkrone,coiffe lys
322,cute lily crown,ユリのかんむり・キュート,Buntlilienkrone,jolie coiffe lys
323,dark lily crown,ユリのかんむり・ダーク,Dunkellilienkrone,coiffe lys sombre
324,mum crown,キクのかんむり,Chrysanthemenkrone,coiffe chrysanthèmes
325,chic mum crown,キクのかんむり・シック,Edelchrysanthemenkrone,coiffe chrysanth. chic
326,simple mum crown,キクのかんむり・シンプル,Grünchrysanthemenkrone,coiffe chrysanth. simple
327,mesh cap,メッシュキャップ,Truckerkappe,casquette voilage filet
328,top hat,シルクハット,Zylinder,haut-de-forme
329,explorer's hat,たんけんぼう,Safarihut,chapeau aventure
330,scholar's hat,がくしのぼうし,Abschlusshut,chapeau diplôme
331,sombrero,ソンブレロ,Sombrero,sombrero
332,safety helmet,あんぜんヘルメット,Baustellenhelm,casque de chantier
333,chef's hat,コックさんのぼうし,Kochmütze,toque
334,police cap,けいかんのぼうし,Polizeimütze,casquette de police
335,bamboo hat,かさぼうし,Bambushut,nón lá
336,faux-fur hat,フェイクファーハット,Kunstfellhut,bonnet en fausse fourrure
337,do-rag,さんかくきん,Bandana,bandana triangle
338,knit hat,ニットキャップ,Strickmütze,bonnet tricoté
339,paperboy cap,ハンチング,Botenmütze,casquette de livreur
340,plain cap,ワークキャップ,Schirmmütze,casquette militaire
341,sailor's hat,ふなのりのぼうし,Matrosenmütze,bonnet marin
342,viking helmet,バイキングのかぶと,Wikingerhelm,casque viking
343,mage's hat,まじょのぼうし,Hexenhut,chapeau de sorcellerie
344,denim cap,デニムキャップ,Jeans-Kappe,casquette en jean
345,cycling cap,サイクルキャップ,Radlermütze,casquette cycliste
346,outdoor hat,アウトドアハット,Outdoor-Hut,chapeau de randonnée
347,straw boater,カンカンぼう,Kreissäge,canotier
348,beret,ベレーぼう,Barett,béret
349,orange hat,オレンジのぼうし,Orangenhut,chapeau orange
350,kiwi hat,キウイのぼうし,Kiwihut,chapeau kiwi
351,strawberry hat,いちごのぼうし,Erdbeerhut,chapeau fraise
352,grape hat,ぶどうのぼうし,Traubenhut,chapeau raisin
353,pineapple cap,パイナップルのぼうし,Ananashut,chapeau ananas
354,watermelon hat,スイカのぼうし,Melonenhut,chapeau pastèque
355,sushi chef hat,わぼうし,Sushikochmütze,toque de chef sushi
356,bicycle helmet,サイクルヘルメット,Fahrradhelm,casque de vélo
357,swimming cap,すいえいキャップ,Schwimmkappe,bonnet de natation
358,silk hat,チャイナハット,Asia-Mütze,chapeau en soie
359,tulip hat,チューリップハット,Tulpenhut,chapeau tulipe
360,paisley bandanna,ペイズリーのバンダナ,Paisleymuster-Bandana,bandana paisley
361,alpinist hat,チロリアンハット,Gebirgshut,chapeau tyrolien
362,bowler hat with ribbon,リボンボーラーハット,Schleifchen-Melone,chapeau melon à ruban
363,wide-brim straw hat,つばひろストローハット,Florentinerhut,chapeau de paille large
364,dotted shower cap,みずたまシャワーキャップ,Pünktchenduschhaube,bonnet de douche à pois
365,fedora,なかおれハット,Filzhut,borsalino
366,frugal hat,しっそなぼうし,Lumpenhut,chapeau rapiécé
367,sports cap,うんどうぼう,Sportkappe,casquette de sport
368,terry-cloth nightcap,もこもこナイトキャップ,Frottee-Nachtmütze,bonnet de nuit tissu éponge
369,royal crown,おうかん,Königskrone,couronne royale
370,terry-cloth do-rag,タオル,Handtuch,bandana simple
371,acorn knit cap,どんぐりニット,Eichelstrickmütze,bonnet gland tricoté
372,combat helmet,コンバットヘルメット,Soldatenhelm,casque lourd
373,shallow knit cap,あさいニットぼう,Ministrickmütze,mini bonnet tricoté
374,captain's hat,キャプテンのぼうし,Kapitänsmütze,casquette de capitaine
375,dandy hat,キャスケット,Dandymütze,casquette de dandy
376,wizard's cap,とんがりぼうし,Zauberhut,chapeau de magicien
377,balloon hat,バルーンハット,Ballonhut,chapeau ballons
378,elegant hat,エレガントなぼうし,Schmuckhut,chapeau classe
379,jester's cap,ピエロのぼうし,Narrenkappe,chapeau de bouffon
380,jockey's helmet,ジョッキーヘルメット,Jockeyhelm,casque de jockey
381,detective hat,めいたんていのぼうし,Detektivhut,casquette de détective
382,straw hat,むぎわらぼうし,Strohhut,chapeau de paille
383,outback hat,テンガロンハット,Western-Hut,feutre
384,snowy knit cap,スノーニットぼう,Schneeflockenmütze,bonnet d'hiver tricoté
385,colorful striped knit cap,カラフルボーダーニットぼう,Ringelpudelmütze,bonnet tricoté bariolé
386,imitation cow skull,うしのほね,Kuhschädelhelm,casque préhistorique
387,eggshell,たまごのから,Eischalen-Hut,coquille d'œuf
388,cavalier hat,じゅうきしのぼうし,Edelmann-Hut,chapeau de mousquetaire
